cytof_id,Eosinophils,Neutrophils,NonNeutrophils,NonEosinophils,B.cells,NonTB,NK,CD56bright.CD16neg.NK,CD56dim.CD16pos.NK,NonNK,CD14neg.CD16neg,CD123pos,Basophils,pDCs,mDCs,Classical.monocytes,Intermediate.monocytes,Nonclassical.monocytes,T.cells,CD4T,CD4T.TCM,CD4T.Naive,CD4T.TEMRA,CD4T.TEM,Tregs,CD8T,CD8T.TCM,CD8T.Naive,CD8T.TEMRA,CD8T.TEM,HLADRpos.T,TCRgd.cells
453612803,1.9366,14.8142,85.1858,82.7661,15.1014,34.5461,10.4926,0.7268,2.2195,23.8968,7.7074,0.5614,0.3351,0.2263,3.0594,14.144,0.5309,1.3926,32.7139,17.9911,4.5435,12.6034,0.1958,0.6484,1.3796,12.5468,4.3781,7.0024,0.2481,0.9183,5.0875,1.1359
453612824,1.6263,7.4627,92.5373,90.4085,12.9785,35.4061,6.5358,0.7291,0.9318,28.8664,3.9806,0.2928,0.1147,0.18,0.8794,8.4647,0.7835,15.6296,41.5145,27.4162,5.1884,21.472,0.1335,0.6222,2.294,11.1346,1.5432,9.2917,0.1058,0.1939,0.8092,2.109
453612829,2.5274,25.1877,74.6946,72.0754,14.4905,31.6056,12.8779,0.6135,2.5847,18.6002,2.8298,0.3348,0.0767,0.2581,0.93,12.1726,0.6135,2.9692,25.4544,14.309,3.102,10.7264,0.0875,0.3932,1.1201,9.5329,1.8966,5.8519,0.9634,0.8209,1.942,0.9408
453611588,2.5598,21.5728,78.847,76.3864,8.44,28.9214,16.05,0.734,3.7125,12.7568,2.1496,0.2603,0.064,0.1947,0.2224,6.8755,1.7986,1.917,37.9753,14.3543,3.9658,9.7068,0.0613,0.6203,1.2663,21.2341,16.0574,3.3049,0.0613,1.8104,16.5476,1.8936
453611593,1.5566,22.0184,77.9816,76.1423,15.5511,16.3236,6.3402,0.4592,3.57,9.9819,1.7004,0.1219,0.0134,0.1082,0.3816,6.9201,0.4618,0.9072,43.8776,24.7594,5.7133,17.9863,0.1809,0.8789,2.0099,15.8122,5.5199,5.7165,1.1307,3.4452,3.1733,2.6867
453611603,1.6416,21.2667,78.5931,77.1003,3.7429,35.8511,8.2672,0.5827,2.5553,27.6449,2.8359,0.24,0.0332,0.2086,0.8965,20.5172,1.4417,2.8728,37.1156,26.669,9.1317,17.186,0.0726,0.2787,2.268,8.2444,1.7998,6.2268,0.0474,0.1704,1.3186,1.7007
453611604,1.983,13.354,86.646,84.7734,15.6258,32.9747,8.6598,0.7806,2.0968,24.3894,5.1081,0.1671,0.0783,0.0868,3.1954,18.0817,0.3747,0.8122,35.8416,14.6164,3.4144,10.7093,0.1699,0.3228,1.6376,18.8646,7.4838,10.7174,0.2171,0.4464,7.8632,1.7532
453611616,3.1336,20.6231,79.3769,76.4548,23.8322,27.4026,10.0704,0.5315,1.1636,17.2413,4.5154,0.2618,0.1382,0.1224,2.2859,11.9563,0.2186,0.5551,24.6637,11.0252,3.1246,7.1449,0.1634,0.5923,1.5016,11.7069,2.5341,6.2976,1.4588,1.4164,2.2491,1.4535
453611619,2.2641,11.0813,89.0151,86.8478,23.6011,15.0366,5.3201,0.2583,2.5507,9.7636,2.1966,0.3713,0.1889,0.1821,0.3893,6.6354,0.4172,0.4781,47.7837,30.8368,4.5422,24.9392,0.3209,1.0345,2.7181,14.1492,3.0277,9.6748,0.5489,0.8979,3.4113,1.8804
453611620,1.9953,28.1333,72.0584,70.034,8.2499,21.9573,6.6777,0.4636,3.7018,15.2205,1.8966,0.2557,0.0235,0.2298,0.4353,11.2582,0.7808,1.2744,39.0566,16.4123,3.7584,12.2316,0.0858,0.3366,1.1344,19.86,14.3515,3.5731,0.0761,1.8594,10.6077,2.518
453611622,2.4554,10.7197,89.0446,86.4481,11.6278,40.9389,22.6757,0.5887,4.0155,18.1587,3.023,0.8106,0.5452,0.2631,0.4024,12.4059,1.1621,1.5879,33.3712,22.759,4.9664,17.4308,0.0976,0.2642,2.0863,7.8125,1.775,5.9528,0.0479,0.0369,1.3295,1.7852
453611626,1.4464,25.965,74.1725,72.3134,10.3144,30.5114,12.3199,0.5886,3.6664,18.3069,2.6089,0.2352,0.0488,0.1864,1.0782,12.1365,0.5546,2.8441,29.8296,8.7423,2.8308,5.1232,0.1967,0.5916,0.9495,18.1309,9.0721,6.3493,0.6729,2.0366,8.8266,2.7894
453611586,1.7047,36.9629,61.4448,59.3588,11.6748,25.7383,9.9065,0.3489,1.8301,15.8319,3.2541,0.4716,0.1819,0.2897,1.1713,11.1024,0.3482,1.0934,21.5026,12.8286,3.0696,9.5556,0.0403,0.1631,1.2623,6.5998,1.17,5.0724,0.1702,0.1871,0.9485,1.7021
453611590,2.5948,43.7997,56.2003,53.4379,7.598,29.6252,17.7872,0.4545,2.34,12.054,2.3039,0.202,0.0582,0.1438,0.2358,7.1219,0.9928,1.6367,15.9459,8.819,1.4586,7.0584,0.1001,0.202,0.6483,5.8924,1.8301,3.258,0.4378,0.3666,1.468,1.0582
453611594,2.5822,23.6811,76.25,74.5848,10.5541,20.9293,11.4833,0.353,2.5179,9.3302,2.6677,0.7956,0.4996,0.2895,0.7907,5.984,0.253,0.3846,42.5448,28.346800000000002,5.5285,22.5305,0.0603,0.2275,2.5369,11.6647,1.8839,9.352,0.1292,0.2996,1.0195,2.1122
