protein,eta_squared,p_value,p_fdr
IL16,0.0034793845841029876,0.649082135496768,0.7216503245585184
CRKL,0.003429086235638838,0.6531572289124499,0.7239327800329939
CEP164,0.003355550299207828,0.6591607096613159,0.728331895243059
CD200R1,0.0032250424988991373,0.669950456114353,0.737976194735195
BACH1,0.0031658696971587595,0.6749001220292723,0.741147986768342
IRAK4,0.0029561275633629026,0.6927385063113098,0.7570142702201079
MANF,0.0029463972195993707,0.6935773202016631,0.7570142702201079
PNLIPRP2,0.0029205464709567207,0.6958107065398098,0.7571435651709785
SAMD9L,0.002894763998200285,0.6980452994358333,0.7572733854485707
TIMP3,0.0026005867308612177,0.7240514741744696,0.7831130747868886
DECR1,0.0024780528014050037,0.7351653024588729,0.7927384887960136
ANGPTL2,0.00240926249615786,0.741478576122417,0.7971451358913672
NUB1,0.002340180955298082,0.74787269539127,0.8016120507487264
SCRN1,0.0022114346565517743,0.7599356254445526,0.8121103101765667
FKBP1B,0.002121799033368869,0.7684478317432953,0.8187628683455349
YTHDF3,0.002081245031481618,0.7723300340046381,0.820457424847657
CCL26,0.00167797248909194,0.8120094094816501,0.8600573035338188
IL12B,0.0016334914884629313,0.8165080077558822,0.8622709934413151
LGMN,0.001574061918083691,0.8225570353712365,0.8651881559234597
ARHGEF12,0.0015589350763772047,0.824103802150558,0.8651881559234597
IL1RN,0.0015101857695664267,0.8291082287965539,0.8678969178630593
IRAK1,0.0013552014435117292,0.8452194768995658,0.8821824277843864
NCK2,0.0012642305654776218,0.8548205056393384,0.8896097122641953
SRPK2,0.001164077392440592,0.8655157762385726,0.896780727357351
JUN,0.0011528680755585267,0.8667210381721884,0.896780727357351
DBNL,0.0010883470404167012,0.8736909890391099,0.9013872451757963
TBC1D5,6.755040063154969e-4,0.9196236207921686,0.9428150239394887
AXIN1,6.638137980154965e-4,0.9209585554291969,0.9428150239394887
SKAP2,6.569212658855898e-4,0.9217465317844162,0.9428150239394887
PLA2G4A,6.050159196112799e-4,0.927702037592187,0.9456820782731938
CCL7,5.865266896074115e-4,0.9298326579669391,0.9456820782731938
CD84,3.4757948716855874e-4,0.957808565275546,0.9713752588346897
PPP1R9B,2.5245882120361596e-4,0.969176200565661,0.9801273440748774
FOXO1,1.9211810576133615e-4,0.9764566393602474,0.983734220886588
CLIP2,1.7741792641126592e-4,0.9782384989821937,0.983734220886588
NT5C3A,1.106674177092349e-4,0.9863702190103081,0.9891331608002529
WFIKKN2,4.7125576675091584e-5,0.994173332054871,0.994173332054871
