protein,lrt_chisq,lrt_df,p_value,p_fdr
SCGB1A1,1.7379500444671407,2,0.41938118541697583,0.8555327144056164
ENPP7,0.01219317930952002,2,0.9939219568386887,0.9967060519558839
SIGLEC1,4.350287813863645,2,0.11359180584624982,0.7760494874942448
F2R,1.6693731687965396,2,0.4340104857764928,0.8555327144056164
CD48,4.319506908281198,2,0.11535355747443814,0.7760494874942448
CCL23,0.6185176799116903,2,0.7339907593004122,0.9294716053278546
IL18,0.8230462421720404,2,0.6626401998563017,0.9263233276536772
CCL4,3.6704185210439846,2,0.15958010445791215,0.7760494874942448
IL10RB,0.26026801045526327,2,0.8779777694262623,0.9779421326186479
CXCL10,2.1926516944585046,2,0.3340963524464684,0.8555327144056164
EGF,2.6078329043690474,2,0.2714665226996422,0.8439922155429567
CRLF1,0.5535836986658893,2,0.7582123030828856,0.9307852054633672
IL1RN,0.9171266113248748,2,0.6321912589712677,0.9162934036911491
CRIM1,2.5211586654310665,2,0.2834897440340246,0.8439922155429567
TNFRSF13B,3.453068582557677,2,0.17789989202033826,0.7760494874942448
ANGPTL4,2.480435879854781,2,0.2893211564356644,0.8439922155429567
CST7,3.9843876084953536,2,0.1363958711424354,0.7760494874942448
ERBB3,2.4089418280965784,2,0.29985060429410976,0.8439922155429567
NELL2,1.5838666565394917,2,0.45296821194427156,0.8555327144056164
MANF,1.355156581286451,2,0.5078453582485478,0.8614718688319216
LY6D,1.7044286878303012,2,0.42646953539776983,0.8555327144056164
CCN2,0.3958401055338072,2,0.8204354420594965,0.9505368552016172
GLOD4,0.11212486877468564,2,0.9454801035765806,0.9835764529340022
DNER,0.982498924141602,2,0.61186141874473,0.9027866491588268
BTN2A1,2.194522979005889,2,0.33378390396842916,0.8555327144056164
SHMT1,0.028627931570667897,2,0.9857879919699187,0.9954627357671685
FGF19,2.529623537544694,2,0.28229242739005106,0.8439922155429567
CD58,0.7157963782095749,2,0.6991442518853405,0.9294716053278546
PTPN6,2.03891213084205,2,0.36079113358339465,0.8555327144056164
HSPA1A,1.417519477625774,2,0.49225434296862813,0.8614718688319216
CSF1,1.453109697582164,2,0.4835721026221093,0.8614718688319216
SPINT2,0.9463061931945731,2,0.6230346793863594,0.9066927447980352
CKMT1A_CKMT1B,1.2716411885921843,2,0.5295008046524184,0.8614718688319216
FIS1,3.5078294192433077,2,0.17309499872481796,0.7760494874942448
SCGB3A2,5.3583498877248985,2,0.06861974594791583,0.7760494874942448
CD40,0.178673464887936,2,0.9145375672493806,0.9835764529340022
OMD,0.25037088595502155,2,0.8823332649045343,0.9779421326186479
ANGPTL2,2.685798417758207,2,0.2610876226906841,0.8439922155429567
GAL,4.290651595474628,2,0.11702990275491547,0.7760494874942448
SCG3,1.6754720140849884,2,0.4326890202508072,0.8555327144056164
PDLIM7,1.125110184015739,2,0.5697514351157255,0.8787256461973959
SMOC2,1.3308074495775486,2,0.5140659446413206,0.8614718688319216
TREM2,1.3614134660181207,2,0.5062590759047201,0.8614718688319216
MZB1,2.3652210873283366,2,0.3064776201692301,0.8439922155429567
TNFSF13,1.464000077177218,2,0.48094611672673604,0.8614718688319216
ROBO1,0.48770700743727957,2,0.7836024206954612,0.9309973302355605
TNFRSF11B,2.1609363454315087,2,0.3394365734968727,0.8555327144056164
ENPP5,1.47448331037819,2,0.4784317769366459,0.8614718688319216
LAIR1,1.5882741395519702,2,0.45197108620183896,0.8555327144056164
COLEC12,0.8159776817059594,2,0.6649862994608801,0.9263233276536772
SIRPB1,3.545617774271534,2,0.16985521400620354,0.7760494874942448
ANGPT1,1.2763720819476703,2,0.528249778933832,0.8614718688319216
PDGFB,1.5340839332835685,2,0.46438470408462235,0.8614718688319216
CRKL,0.6827157145702358,2,0.7108044961202844,0.9294716053278546
EPCAM,2.873199358193631,2,0.2377347603472705,0.822669382578568
DNPH1,0.20279468095452557,2,0.9035739350499409,0.9835764529340022
CCL17,0.8684867996557841,2,0.6477545729446064,0.9202227663260678
MEGF10,0.5996724461415965,2,0.7409395595509802,0.9294716053278546
CRHBP,0.029679688139882643,2,0.9852697237566583,0.9954627357671685
LGALS4,4.828148620158913,2,0.0894501036679544,0.7760494874942448
LHPP,0.2671939422206151,2,0.8749426207063823,0.9779421326186479
TPP1,0.7259793616170782,2,0.6955936114257151,0.9294716053278546
CRELD2,0.37617506181402405,2,0.8285421810099823,0.9568325832308828
CTRC,0.8441687140744989,2,0.655678725945727,0.9263233276536772
MEPE,1.9790454256427665,2,0.37175408214242944,0.8555327144056164
CDON,5.329632560103846,2,0.06961214149755245,0.7760494874942448
ADGRE2,1.5982219183534596,2,0.4497286135354001,0.8555327144056164
AGER,1.2508153218478526,2,0.5350432678213153,0.8614718688319216
IL1R2,0.03921080790075848,2,0.9805855321525522,0.9954627357671685
ESM1,0.8000761694251253,2,0.6702945175754862,0.9294716053278546
SPON1,0.1337722330493989,2,0.9353017106811011,0.9835764529340022
ATP5IF1,1.206899878230729,2,0.5469215316110733,0.8676097962022123
SKAP2,1.9924116306501674,2,0.36927789502778785,0.8555327144056164
CXCL1,0.4990795319070003,2,0.779159296200861,0.9307852054633672
PRSS8,1.02289333739121,2,0.5996274887273231,0.890732950059675
PLAUR,6.533579206140466,2,0.038128638861173,0.7145530989526866
CCL22,0.1611953529071002,2,0.9225647863261627,0.9835764529340022
PRELP,1.5998718877918918,2,0.44935774730196093,0.8555327144056164
MATN2,0.21446525856636356,2,0.8983166739176722,0.9835764529340022
LTBR,0.04431379666033308,2,0.9780867628319111,0.9954627357671685
LAMA4,0.6075191836413012,2,0.7380382755625541,0.9294716053278546
FST,2.055844118953587,2,0.35774957108261435,0.8555327144056164
CHRDL1,0.4684472079124049,2,0.7911848840448301,0.9317243042370038
CCL24,0.12525264997924523,2,0.9392943989633271,0.9835764529340022
LGMN,3.8598067029297454,2,0.14516222752231564,0.7760494874942448
DAG1,1.0281423357649828,2,0.59805583018114306,0.890732950059675
