protein,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
TRIM21,V1,43,43,0.31393667864385993,-0.1785307216297536,-0.6020964237728522,0.24503498051334502,0.9974350922814665
TRIM21,V3,41,42,0.4879434571374631,-0.1511163662077546,-0.5820522717242648,0.2798195393087556,0.9562180802473277
TRIM21,V5,41,41,0.5004219676444249,-0.10507664535898484,-0.5382743124762387,0.32812102175826896,0.9715791351870459
PSIP1,V1,43,43,0.7701676019982215,0.10615667543773809,-0.31685249670414706,0.5291658475796233,0.9974350922814665
PSIP1,V3,41,42,0.5110143023152617,-0.07514015994477158,-0.505602836086535,0.3553225161969919,0.962574441529572
PSIP1,V5,41,41,0.47148579489506837,-0.09251947180011261,-0.5256483717982983,0.340609428198073,0.9715791351870459
IL7,V1,43,43,0.46480162015184884,0.15713493173168225,-0.266236866429528,0.5805067298928925,0.9974350922814665
IL7,V3,41,42,0.9963861751691634,-0.06982200342547215,-0.5002634442809629,0.36061943743001856,0.9963861751691634
IL7,V5,41,41,0.8754065979087653,0.011767503690634359,-0.42112791868686733,0.444662926068136,0.9715791351870459
SAMD9L,V1,43,43,0.8635637046734581,8.502026971866248e-4,-0.421854287811832,0.4235546932062052,0.9974350922814665
SAMD9L,V3,41,42,0.27000631597505353,-0.19211509874739044,-0.6234380096500556,0.23920781215527473,0.9531863394505088
SAMD9L,V5,41,41,0.41645243359274225,-0.13405911977429746,-0.5674488127896797,0.2993305732410848,0.9715791351870459
SIGLEC10,V1,43,43,0.763604249140777,0.06379883687569338,-0.35901571321499454,0.4866133869663813,0.9974350922814665
SIGLEC10,V3,41,42,0.5466482575921847,-0.14302952505616617,-0.5738999776365525,0.28784092752422014,0.962574441529572
SIGLEC10,V5,41,41,0.09334308713917354,-0.3207620394504898,-0.7564975896376849,0.1149735107367052,0.8238908000777784
ISM1,V1,43,43,0.4681387277328591,0.09646308515842117,-0.3264929964862683,0.5194191668031106,0.9974350922814665
ISM1,V3,41,42,0.6867833919433709,-0.19854060313735536,-0.629932511207523,0.23285130493281234,0.9671590749349257
ISM1,V5,41,41,0.8310893622379061,0.04135657856370548,-0.3915824331377781,0.4742955902651891,0.9715791351870459
SLC39A5,V1,43,43,0.6784511530655193,-0.1778741756497817,-0.6014335614728457,0.24568521017328226,0.9974350922814665
SLC39A5,V3,41,42,0.4381325207032406,-0.21211163093538904,-0.643656684768841,0.2194334228980629,0.9562180802473277
SLC39A5,V5,41,41,0.8783808833826795,-0.10181128197161404,-0.5349902270946103,0.3313676631513822,0.9715791351870459
BTN3A2,V1,43,43,0.5646376918128043,0.21280184451426257,-0.2111257179219366,0.6367294069504618,0.9974350922814665
BTN3A2,V3,41,42,0.7408692513255808,0.09474012111291603,-0.3358142580314256,0.5252945002572577,0.9671590749349257
BTN3A2,V5,41,41,0.5242243111806397,-0.10493076887099141,-0.5381275870103016,0.3282660492683188,0.9715791351870459
MLN,V1,43,43,0.8089065220474899,0.12430016629562435,-0.29882200508923956,0.5474223376804883,0.9974350922814665
MLN,V3,41,42,0.7614997475241579,0.06601807264200439,-0.3644091344167821,0.49644527970079083,0.9671590749349257
MLN,V5,41,41,0.6512063796148355,-0.017725580233798163,-0.45062587568513235,0.415174715217536,0.9715791351870459
SCRN1,V1,43,43,0.8032204130480175,0.17503531795316576,-0.24849702334320237,0.5985676592495339,0.9974350922814665
SCRN1,V3,41,42,0.11022585469072955,-0.39461674176418443,-0.8291935044055156,0.03996002087714673,0.9531863394505088
