protein,follow_up_timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
PRDX3,V5,41,41,0.27541680487437475,-0.12249745204754836,-0.5558049722057756,0.31081006811067885,0.7866725032597293
ICA1,V3,41,42,0.32932370860198124,-0.2961702642778228,-0.7288876173172048,0.1365470887615592,0.8183649169894438
ICA1,V5,41,41,0.7190155463104064,-0.0566091491113902,-0.4895895924289746,0.3763712942061942,0.9862358834449253
IRAK1,V3,41,42,0.505194238656606,-0.1637580741147855,-0.5948034867708445,0.26728733854127346,0.8358069549769376
IRAK1,V5,41,41,0.46017212088183007,-0.0688658550995455,-0.5018889370712178,0.36415722687212687,0.8762852089132722
IL12RB1,V3,41,42,0.19856825748163423,-0.2357243744240361,-0.6675598708628392,0.19611112201476694,0.8183649169894438
IL12RB1,V5,41,41,0.009961989644987701,-0.5655514265768978,-1.007224022989508,-0.12387883016428758,0.4940661859261407
IL1RL2,V3,41,42,0.0649218425114023,-0.49500989287485664,-0.9320166203907202,-0.05800316535899308,0.8183649169894438
IL1RL2,V5,41,41,0.10088905281714357,-0.397686677929235,-0.8349422280934553,0.03956887223498523,0.6622286146940412
IL1A,V3,41,42,0.7136483804017049,-0.04018681289154492,-0.4705384419095523,0.3901648161264625,0.9256743484920664
IL1A,V5,41,41,0.6248253120473525,-0.11770877496400006,-0.5509844251471845,0.31556687521918436,0.9577680963724599
GBP2,V3,41,42,0.9458336643596891,-0.013283329273293731,-0.4435953228645658,0.41702866431797836,0.9874488161592604
GBP2,V5,41,41,0.40591388546166995,0.14623168193434366,-0.28725251005366853,0.5797158739223558,0.835156155145275
FGF5,V3,41,42,0.3072464425439339,-0.3257315148977881,-0.7589523162099208,0.10748928641434458,0.8183649169894438
FGF5,V5,41,41,0.024862445205848252,-0.454576179645833,-0.893160876620869,-0.015991482670797086,0.593383692246245
CSF3,V3,41,42,0.15212826128781382,0.26695151075678925,-0.1653147626193014,0.6992177841328799,0.8183649169894438
CSF3,V5,41,41,0.7879698119095365,-0.06706334722867624,-0.5000796364686323,0.3659529420112798,0.9964165017853371
AMN,V3,41,42,0.9530469556133357,0.053032720215348536,-0.37735190005052943,0.48341734048122653,0.9874488161592604
AMN,V5,41,41,0.30942175171324665,-0.20628027870488252,-0.6403503015674787,0.22778974415771375,0.7912356222381592
ITGB6,V3,41,42,0.20177846992707546,-0.3322125310747137,-0.7655500217883737,0.10112495963894635,0.8183649169894438
ITGB6,V5,41,41,0.138439331508233,-0.43799094591129006,-0.8761702539128351,1.8836209025502315e-4,0.6856239268034848
JCHAIN,V3,41,42,0.05148167898236434,-0.3810365780925899,-0.8153258545583428,0.0532526983731631,0.8183649169894438
JCHAIN,V5,41,41,0.11309943225922155,-0.35031299010255285,-0.7865945617142358,0.08596858150913017,0.6637638811278904
IFNG,V3,41,42,0.5477421396516285,-0.03198626892968385,-0.4623215911072837,0.398349053247916,0.8415952188638756
IFNG,V5,41,41,0.043752075020464125,-0.44500027859526586,-0.8833491215896279,-0.006651435600903921,0.6321136273041945
SLAMF1,V3,41,42,0.11650219979128075,-0.3397879108224138,-0.7732646675208112,0.09368884587598375,0.8183649169894438
SLAMF1,V5,41,41,0.5424451349114037,-0.08715510411057782,-0.5202572885930413,0.3459470803718857,0.9324192002629563
ENAH,V3,41,42,0.8954960480996333,0.01919537692031917,-0.4111219074260364,0.4495126612666748,0.9874488161592604
ENAH,V5,41,41,0.5485873738299907,-0.14271542573281418,-0.5761714791614833,0.29074062769585496,0.9324192002629563
IL15RA,V3,41,42,0.24324826428436572,-0.3686078089353547,-0.8026426376093815,0.06542701973867204,0.8183649169894438
IL15RA,V5,41,41,0.04181730013466361,-0.4988781278504872,-0.93861750068379,-0.0591387550171843,0.6321136273041945
PARP1,V3,41,42,0.9314208334018014,-0.0684041372973506,-0.498840179552351,0.36203190495764975,0.9874488161592604
PARP1,V5,41,41,0.82480650880236,-0.08978475703740205,-0.5228998385417937,0.34333032446698963,0.9964165017853371
FABP9,V3,41,42,0.5959767401665277,-0.18619955376781477,-0.6174609408206884,0.24506183328505887,0.8422526363383754
FABP9,V5,41,41,0.17667590770368874,-0.34550260420511086,-0.7816920640273479,0.09068685561712625,0.7529758923561972
SRPK2,V3,41,42,0.33843235095147395,-0.2207216328669276,-0.6523690662830017,0.2109258005491465,0.8183649169894438
SRPK2,V5,41,41,0.955869869323158,-0.022340709053647836,-0.4552461323472776,0.410564714239982,0.9964165017853371
FGF2,V3,41,42,0.5834579294703031,-0.029888147633201412,-0.4602198929367213,0.40044359767031845,0.8422526363383754
FGF2,V5,41,41,0.4251203595042489,-0.0598417668651239,-0.49283264742852223,0.37314911369827447,0.8598479587713056
ITM2A,V3,41,42,0.7614997475241579,-0.04112299551624399,-0.4714767217646172,0.3892307307321292,0.9433111059295798
ITM2A,V5,41,41,0.5989113149192807,-0.13334353347669087,-0.5667279260270917,0.3000408590737099,0.9529344477382333
BACH1,V3,41,42,0.5346362924293818,-0.07629611527439364,-0.5067636131159788,0.3541713825671915,0.8358069549769376
BACH1,V5,41,41,0.8391998710920148,-0.08130015962670907,-0.514375004464535,0.3517746852111168,0.9964165017853371
IFNLR1,V3,41,42,0.16847776753800905,-0.3391205323611477,-0.7725848956465659,0.09434383092427046,0.8183649169894438
IFNLR1,V5,41,41,0.24028701217282497,-0.3525484475360146,-0.7888732516028237,0.08377635653079452,0.7749797329537959
TRAF2,V3,41,42,0.42746994267325694,0.19711305800872522,-0.23426332590582402,0.6284894419232745,0.8183649169894438
TRAF2,V5,41,41,0.5182203953128084,0.15017815773367885,-0.2833384290118076,0.5836947444791653,0.9324192002629563
SULT2A1,V3,41,42,0.09846817175049861,-0.24298791527752947,-0.6749188722275148,0.18894304167245582,0.8183649169894438
SULT2A1,V5,41,41,0.07800035711144383,-0.3080031356179739,-0.743517604915777,0.12751133367982925,0.6321136273041945
SPINK4,V3,41,42,0.4717992501861565,-0.12325859127447149,-0.5539841425089912,0.3074669599600482,0.8239225930080196
SPINK4,V5,41,41,0.22930336439993337,-0.30423938316898497,-0.7396903287664739,0.13121156242850396,0.7749797329537959
NUB1,V3,41,42,0.4489447626359347,-0.14928250427050185,-0.5802032523064006,0.2816382437653968,0.8239225930080196
NUB1,V5,41,41,0.8754065979087653,-0.07724940232355132,-0.5103064434968192,0.35580763884971656,0.9964165017853371
PSPN,V3,41,42,0.40659920976023095,0.15570215634709464,-0.27527245984014137,0.5866767725343306,0.8183649169894438
PSPN,V5,41,41,0.06077233337110178,-0.4396738741786201,-0.8778936476457944,-0.0014541007114457494,0.6321136273041945
ALDH3A1,V3,41,42,0.9819323423259685,0.034886140494052274,-0.3954545246589684,0.4652268056470729,0.9874488161592604
ALDH3A1,V5,41,41,0.5734905464127721,-0.20331862773013837,-0.6373550991021106,0.23071784364183395,0.9461272609021769
SH2D1A,V3,41,42,0.6277907626407624,-0.08406775972115467,-0.5145695840147051,0.3464340645723958,0.8644195885592036
SH2D1A,V5,41,41,0.5424451349114037,-0.2252590167241875,-0.6595554919093297,0.2090374584609547,0.9324192002629563
FOXO1,V3,41,42,0.3029501054757239,-0.1792720358414553,-0.6104638094871505,0.25191973780423993,0.8183649169894438
FOXO1,V5,41,41,0.5925088996377996,-0.14267076223204572,-0.5761264626377325,0.290784938173641,0.9512026281180819
VASH1,V3,41,42,0.06228508078829399,-0.33004391610316214,-0.7633421089290773,0.103254276722753,0.8183649169894438
VASH1,V5,41,41,0.6313778512399456,0.0036849821002845934,-0.4292069766899479,0.43657694089051713,0.9577680963724599
METAP1D,V3,41,42,0.20177846992707546,-0.19318200818857728,-0.6245162191895668,0.23815220281241228,0.8183649169894438
METAP1D,V5,41,41,0.3802661933931215,-0.16305866351859216,-0.5966869639078314,0.270569636870647,0.8250624074832577
HLA.DRA,V3,41,42,0.5772443226621816,0.027827255561695158,-0.40250121247060777,0.45815572359399814,0.8422526363383754
HLA.DRA,V5,41,41,0.6118082536231932,-0.24143728386291796,-0.6759424184238094,0.19306785069797344,0.9577680963724599
