feature,modality,feature_name,module,kME
Olink_SIGLEC1,Olink,SIGLEC1,brown,0.7386363614932963
Olink_F2R,Olink,F2R,blue,0.729136738040693
Olink_CD48,Olink,CD48,brown,0.8677658634081781
Olink_CCL23,Olink,CCL23,turquoise,0.11278461312644716
Olink_IL18,Olink,IL18,turquoise,0.44791079488200525
Olink_CCL4,Olink,CCL4,turquoise,0.6016177313744752
Olink_IL10RB,Olink,IL10RB,blue,0.8009750952581565
Olink_CXCL10,Olink,CXCL10,brown,0.8349939505434207
Olink_EGF,Olink,EGF,turquoise,0.8120477596672036
Olink_CRLF1,Olink,CRLF1,blue,0.6213569583242247
Olink_IL1RN,Olink,IL1RN,turquoise,0.5593255574153573
Olink_CRIM1,Olink,CRIM1,blue,0.643825068305602
Olink_TNFRSF13B,Olink,TNFRSF13B,yellow,0.73189501577922
Olink_ANGPTL4,Olink,ANGPTL4,yellow,0.501584455646131
Olink_CST7,Olink,CST7,turquoise,0.6736654548239918
Olink_ERBB3,Olink,ERBB3,yellow,0.7590574875507484
Olink_NELL2,Olink,NELL2,blue,0.5304289386854557
Olink_MANF,Olink,MANF,turquoise,0.8945135106466987
Olink_LY6D,Olink,LY6D,blue,0.7403507612738814
Olink_CCN2,Olink,CCN2,green,0.9324454289813909
Olink_GLOD4,Olink,GLOD4,turquoise,0.8581748776767748
Olink_DNER,Olink,DNER,turquoise,0.20727889285994114
Olink_BTN2A1,Olink,BTN2A1,blue,0.8082360137157139
Olink_SHMT1,Olink,SHMT1,turquoise,0.8118410645825201
Olink_FGF19,Olink,FGF19,turquoise,0.042322874936311955
Olink_CD58,Olink,CD58,blue,0.6861601544998633
Olink_PTPN6,Olink,PTPN6,turquoise,0.8889057710964693
Olink_HSPA1A,Olink,HSPA1A,turquoise,0.8060127113144826
Olink_CSF1,Olink,CSF1,blue,0.5704773881583359
Olink_SPINT2,Olink,SPINT2,green,0.8679658692770655
Olink_CKMT1A_CKMT1B,Olink,CKMT1A_CKMT1B,yellow,0.39514241795664196
Olink_FIS1,Olink,FIS1,turquoise,0.6932185326561738
Olink_SCGB3A2,Olink,SCGB3A2,blue,0.3566310465798746
Olink_CD40,Olink,CD40,turquoise,0.5315380527714172
Olink_OMD,Olink,OMD,blue,0.3054371853153549
Olink_ANGPTL2,Olink,ANGPTL2,blue,0.24901729325261537
Olink_GAL,Olink,GAL,blue,0.6483314659184025
